Car,Driver,Lap,T (Time)
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",1,76.5004
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",2,72.1769
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",3,71.432
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",4,71.0382
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",5,71.8483
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",6,71.3264
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",7,70.6155
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",8,70.5858
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",9,70.5192
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",10,70.5521
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",11,70.514
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",12,70.7008
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",13,70.7482
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",14,68.6054
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",15,55.6128
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",16,69.5447
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",17,69.7997
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",18,69.2013
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",19,69.5064
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",20,69.8909
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",21,70.0123
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",22,69.7315
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",23,70.1497
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",24,70.2782
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",25,70.3151
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",26,70.3596
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",27,70.4457
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",28,70.6804
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",29,70.74
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",30,70.4439
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",31,70.6249
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",32,70.6113
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",33,70.5274
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",34,70.262
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",35,70.532
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",36,70.2739
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",37,69.9926
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",38,70.2599
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",39,68.4002
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",40,56.5154
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",41,70.3285
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",42,70.0655
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",43,70.2733
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",44,70.331
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",45,70.4639
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",46,70.2213
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",47,70.1701
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",48,70.4146
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",49,70.6051
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",50,70.5002
2,"Newgarden, Josef
Barber Motorsports Park
Section Data Report
May 4",51,72.3205
